name,category,google_rating,review_count,price_level,is_local_favorite,may_suitability,latitude,longitude,final_score
"Enid A. Haupt Conservatory, NYBG",Botanical garden,4.8,2464,1,True,20,40.8639333,-73.8820361,94.6
Conservatory Garden,Garden,4.8,2841,1,True,20,40.793692799999995,-73.9524588,94.6
Wave Hill Public Garden & Cultural Center,Garden,4.8,2154,1,True,20,40.897851599999996,-73.91144489999999,94.6
Lasdon Public Gardens and & Veterans Memorial,Park,4.8,538,1,True,20,41.2764556,-73.7377583,94.6
Japanese Hill-and-Pond Garden,Botanical garden,4.8,267,1,True,20,40.6685881,-73.9628943,94.6
Bayard Cutting Arboretum,State park,4.8,2304,1,True,20,40.736515999999995,-73.1624738,94.6
Cornell Botanic Gardens,Botanical garden,4.8,1886,1,True,20,42.4496189,-76.4728445,94.6
Pier 57 Rooftop Park,Park,4.8,674,1,True,20,40.743653099999996,-74.0106802,94.6
Clark Botanic Gardens,Botanical garden,4.7,953,1,True,20,40.7721777,-73.6398473,93.4
6BC Botanical Garden,Botanical garden,4.6,269,1,True,20,40.7238154,-73.98070779999999,92.2
Elevated Acre,Park,4.6,676,1,True,20,40.7033361,-74.0085763,92.2
Narrows Botanical Gardens,Botanical garden,4.6,484,1,True,20,40.6372374,-74.0367631,92.2
Hudson River Waterfront Greenway,Park,4.8,173,1,True,20,40.7886373,-73.9824241,79.6
Waterfront,Park,4.8,32,1,True,20,40.715859099999996,-73.96761649999999,79.6
Queens Botanical Garden,Botanical garden,4.3,2762,1,False,20,40.751239299999995,-73.8261905,78.6
Shore Road Promenade Scenic Lookout,Park,4.7,135,1,True,20,40.6304672,-74.0408559,78.4
Old Westbury Gardens,Botanical garden,4.7,3552,1,True,20,40.7734287,-73.5957292,78.4
Buffalo and Erie County Botanical Gardens,Botanical garden,4.6,4062,1,True,20,42.8281315,-78.82571159999999,77.2
Hoboken Waterfront,Tourist attraction,4.9,546,1,True,0,40.735884999999996,-74.0281935,75.8
Vintage Green Rooftop,Restaurant,4.9,2477,1,True,0,40.7484439,-73.9780391,75.8
Planting Fields Arboretum State Historic Park,Arboretum,4.8,2744,1,True,0,40.8678866,-73.5529595,74.6
Paper Sons Cafe,Coffee shop,4.8,208,1,True,0,40.7140524,-73.9985851,74.6
Bailey Arboretum,Arboretum,4.8,398,1,True,0,40.887921899999995,-73.5859181,74.6
Scenic Hudson RiverWalk Park at Tarrytown,Tourist attraction,4.8,2302,1,True,0,41.0771318,-73.8691008,74.6
Hudson River Waterfront Walkway,Scenic spot,4.8,1766,1,True,0,40.7385276,-74.0272119,74.6
South Cove Park,Tourist attraction,4.7,983,1,True,0,40.7070571,-74.0183528,73.4
Daintree,Bar,4.7,1136,1,True,0,40.7518932,-73.9840991,73.4
Hudson VU,Cocktail bar,4.7,659,1,True,0,40.764571499999995,-73.99598399999999,73.4
Little Island Vista Point,Scenic spot,4.7,272,1,True,0,40.741865499999996,-74.01133899999999,73.4
Pier 26 at Hudson River Park,Tourist attraction,4.7,1736,1,True,0,40.7211424,-74.0130846,73.4
"Louis Valentino, Jr. Park and Pier",Tourist attraction,4.7,1307,1,True,0,40.6784075,-74.0181413,73.4
The Channel Gardens,Tourist attraction,4.7,711,1,True,0,40.7585013,-73.978087,73.4
The Ramble,Tourist attraction,4.7,786,1,True,0,40.7778736,-73.9697174,73.4
Pier 44 Waterfront Garden,Tourist attraction,4.7,217,1,True,0,40.6756554,-74.0181656,73.4
Untermyer Gardens,Garden,4.8,5910,1,False,20,40.9659926,-73.8859748,69.6
Brooklyn Botanic Garden,Botanical garden,4.7,14875,1,False,20,40.668579799999996,-73.9644696,68.4
New York Botanical Garden,Botanical garden,4.7,12714,1,False,20,40.862287099999996,-73.8773946,68.4
Snug Harbor Cultural Center & Botanical Garden,Botanical garden,4.5,4311,1,False,20,40.6433718,-74.1027431,66.0
New Meadowlands Flea Market,Flea market,4.4,1367,1,False,5,40.8115429,-74.0834905,64.8
Village Vanguard,Jazz club,4.6,2055,2,True,0,40.7360334,-74.0016548,64.2
Stormville Airport Antique Show and Flea Market,Flea market,4.3,1455,1,False,5,41.577650999999996,-73.7339981,63.6
Antique World & Flea Market,Flea market,4.3,562,1,False,5,42.9834307,-78.5724398,63.6
Chelsea Flea,Flea market,4.2,643,1,False,5,40.74382,-73.990336,62.4
The James,Tourist attraction,5,15,1,True,0,40.7469069,-73.9819751,62.0
We Love NYC Rat,Tourist attraction,5,2,1,True,0,40.7265936,-73.9942828,62.0
Brooklyn Flea,Flea market,4.1,2061,1,False,5,40.703266,-73.9880852,61.2
Artists & Fleas Market Chelsea,Vintage clothing store,4.5,1466,1,False,0,40.742873599999996,-74.0073428,61.0
Questing NY,Tourist attraction,4.9,35,1,True,0,40.7096248,-74.0093371,60.8
Boroughs of the Dead,Tour agency,4.9,78,1,True,0,40.732231999999996,-73.9957411,60.8
Riverwalk view of NYC,Tourist attraction,4.9,81,1,True,0,40.7807227,-74.0053583,60.8
Today Flea Market,Flea market,4,676,1,False,5,40.742702799999996,-73.8723988,60.0
Jay's Hidden Treasures Flea Market & Gift Shop,Vintage clothing store,4.8,122,1,True,0,40.825466999999996,-73.1076794,59.6
Battery Park City Promenade,Scenic spot,4.8,57,1,True,0,40.711479499999996,-74.0180057,59.6
NY City Skyline Vista Point,Observation deck,4.8,138,1,True,0,40.6907403,-74.0452713,59.6
Artists & Fleas Market Williamsburg,Vintage clothing store,4.3,1207,1,False,0,40.719896,-73.9612521,58.6
RT60 Rooftop Bar & Lounge,Bar,4.3,803,1,False,0,40.759651,-73.98345499999999,58.6
St. Cloud Rooftop,Bar,4.3,1436,1,False,0,40.7554473,-73.986184,58.6
The Museum of Interesting Things,Tourist attraction,4.7,60,1,True,0,40.7305539,-73.9930526,58.4
Plaza Lafayette & Riverside Lookout,Scenic spot,4.7,9,1,True,0,40.8518323,-73.9419613,58.4
Secret Garden at St. Luke in the Fields,Tourist attraction,4.7,24,1,True,0,40.732619799999995,-74.0068029,58.4
Glockenspiel Sound Board,Tourist attraction,4.7,64,1,True,0,40.7417174,-74.0104681,58.4
Annex Markets,Flea market,3.8,386,1,False,5,40.7433962,-73.9904416,57.6
Pier 35,Tourist attraction,4.6,3605,1,True,0,40.709451699999995,-73.9884141,57.2
Sandbar Rooftop,Lounge bar,4.1,453,1,False,0,40.7455564,-73.9937483,56.2
The Antique & Thrift Shop,Flea market,4.5,47,1,False,5,40.6583997,-73.6958818,51.0
Brooklyn Flea Bargain,Flea market,4.5,36,1,False,5,40.651818299999995,-73.8892889,51.0
Pen Top,Lounge bar,4.3,619,2,False,0,40.7616511,-73.9754019,50.6
The Met Cloisters,Tourist attraction,4.8,8680,1,False,0,40.8648628,-73.9317274,49.6
Central Park,Tourist attraction,4.8,297614,1,False,0,40.7825547,-73.9655834,49.6
Grand Bazaar NYC,Vintage clothing store,4.2,2252,2,False,0,40.7803915,-73.9770625,49.4
Smalls Jazz Club,Jazz club,4.6,3625,2,True,0,40.7343873,-74.002765,49.2
Statue of Liberty,Tourist attraction,4.7,111799,1,False,0,40.6892494,-74.04450039999999,48.4
Empire State Building,Tourist attraction,4.7,125485,1,False,0,40.7484405,-73.98566439999999,48.4
Beacon Flea Market,Flea market,4.2,153,1,False,5,41.5044633,-73.9696469,47.4
Minimalist Fountain,Tourist attraction,4.5,22,1,False,0,40.7522507,-74.0011768,46.0
